"id_with_url","name","location","species","feature_type","description","url","score"
"ENSCAFT00845017859","DLA-64-201","12:1078335-1131442:1","Dog","Transcript","MHC class I DLA-64 [Source:NCBI gene (formerly Entrezgene);Acc:474838]","","0.039562993"
"ENSCAFT00845017900","DLA-64-202","12:1078335-1131442:1","Dog","Transcript","MHC class I DLA-64 [Source:NCBI gene (formerly Entrezgene);Acc:474838]","","0.039562993"
"ENSCAFT00845030976","DLA-DRA-202","12:2409449-2414172:1","Dog","Transcript","MHC class II DR alpha chain [Source:NCBI gene (formerly Entrezgene);Acc:481731]","","0.039562993"
"ENSCAFT00845031161","DLA-DRA-204","12:2410045-2449778:1","Dog","Transcript","MHC class II DR alpha chain [Source:NCBI gene (formerly Entrezgene);Acc:481731]","","0.039562993"
"ENSCAFT00845033413","DLA-DOA-201","12:2894424-2899075:-1","Dog","Transcript","HLA class II histocompatibility antigen, DO alpha chain-like [Source:NCBI gene (formerly Entrezgene);Acc:474869]  Q5TJG5.137 (UniProtKB/TrEMBL record; description: HLA class II histocompatibility antigen, DO alpha chain-like; MHC class II antigen DO alpha) is an external reference matched to Translation ENSCAFP00845026158","","0.03877703"
"ENSCAFT00845017158","DLA88-201","12:1037032-1041310:-1","Dog","Transcript","MHC class I DLA-88 [Source:NCBI gene (formerly Entrezgene);Acc:474836]  A0A6S4Q341.4 (UniProtKB/TrEMBL record; description: DLA class I alpha chain) is an external reference matched to Translation ENSCAFP00845013369","","0.03482397"
"ENSCAFT00845032786","DLA-DMB-201","12:2833409-2839412:-1","Dog","Transcript","major histocompatibility complex, class II, DM beta [Source:NCBI gene (formerly Entrezgene);Acc:607827]  Q5TJH0.108 (UniProtKB/TrEMBL record; description: MHC class II antigen DM beta) is an external reference matched to Translation ENSCAFP00845025659","","0.03482397"
"ENSCAFT00845017220","DLA88-202","12:1037150-1041301:-1","Dog","Transcript","MHC class I DLA-88 [Source:NCBI gene (formerly Entrezgene);Acc:474836]","","0.034617618"
"ENSCAFT00845017259","DLA88-203","12:1037369-1166908:-1","Dog","Transcript","MHC class I DLA-88 [Source:NCBI gene (formerly Entrezgene);Acc:474836]","","0.034617618"
"ENSCAFT00845017308","DLA88-204","12:1038200-1041310:-1","Dog","Transcript","MHC class I DLA-88 [Source:NCBI gene (formerly Entrezgene);Acc:474836]","","0.034617618"
"ENSCAFT00845017625","DLA-64-206","12:1078335-1172648:1","Dog","Transcript","MHC class I DLA-64 [Source:NCBI gene (formerly Entrezgene);Acc:474838]","","0.034617618"
"ENSCAFT00845017676","DLA-64-205","12:1078335-1132797:1","Dog","Transcript","MHC class I DLA-64 [Source:NCBI gene (formerly Entrezgene);Acc:474838]","","0.034617618"
"ENSCAFT00845017745","DLA-64-204","12:1078335-1132717:1","Dog","Transcript","MHC class I DLA-64 [Source:NCBI gene (formerly Entrezgene);Acc:474838]","","0.034617618"
"ENSCAFT00845018049","DLA-64-209","12:1128703-1132761:1","Dog","Transcript","MHC class I DLA-64 [Source:NCBI gene (formerly Entrezgene);Acc:474838]","","0.034617618"
"ENSCAFT00845030593","DLA-12-202","12:46777-50515:1","Dog","Transcript","MHC class I DLA-12 [Source:NCBI gene (formerly Entrezgene);Acc:541592]","","0.034617618"
"ENSCAFT00845030699","DLA-12-203","12:46809-50208:1","Dog","Transcript","MHC class I DLA-12 [Source:NCBI gene (formerly Entrezgene);Acc:541592]","","0.034617618"
"ENSCAFT00845030779","DLA-12-204","12:46816-50232:1","Dog","Transcript","MHC class I DLA-12 [Source:NCBI gene (formerly Entrezgene);Acc:541592]","","0.034617618"
"ENSCAFT00845012734","PPP1R10-201","12:560666-578721:-1","Dog","Transcript","protein phosphatase 1 regulatory subunit 10 [Source:HGNC Symbol;Acc:HGNC:9284]  F6XDS1.52 (UniProtKB/TrEMBL record; description: MHC class I region proline-rich protein CAT53) is an external reference matched to Translation ENSCAFP00845009930","","0.02472687"
